id,name,text,location,friend_count,follower_count
984159189663670272,ssava91,"RT @FifthJauregui_: my coworker said he’s “kinda ugly” please rt to prove her wrong, he doesn’t deserve this slander https://t.co/jpJk3odegU","Albany, NY",15,221
705896848624640000,kemberly_mixon,@OCESchiefs He did amazing!!!!  Congrats!,"Athens, GA",16,46
87314625,Imyoufantasy,Evergreen Park IL,584,4806,
959093353995493376,MyLunaRose1,RT @sebroche: Legend. https://t.co/YsaV80uPnk,Surrey UK ,574,1026
3236417731,Momt14Theresa,@Reverb225 I’m so sorry. He’s a beauty. I had to put down my 15.5 year old golden retriever last summer and I miss him everyday. 😢🐾,"Deep South, USA",332,517
15712453,DayaCWatkins,Texas,12,50,
69202119,canadaresister,yes! https://t.co/3wnh67ZZHJ,"Stirling-Rawdon, Ontario",736,1599
23888074,ElizabethVigg,SLO ,10,192,
744779263665025025,elfandchocobo,,1,129,
39174348,butterfly2535,https://t.co/qeEm2SJZBt #SaveMorrisonLake,Prince George,131,673
1030318286,scotsguy11,Thankyou all so much for the birthday wishes . They were very much appreciated and it's great to have so many wonderful friends, Tranent ,117,236
48109776,MinooG,@Outlander_STARZ @STARZ Love love love #outlander,"Toronto, Ontario",16,121
339800273,WardLoverTwiFan,@grahammctavish Any chance you're attending any TIFF events while in the area? Specifically on Sunday?,Florida,18,132
117547218,heykrb,RT @theOFDA: As survivors of #CycloneIdai continue to grapple with what is now considered the worst natural disaster in southern #Africa in…,Washington DC,217,2383
2955565268,Swankieee17,"RT @proxactears: girls who will ruin ur life:

1. lana del rey/ billie eilish stans
2. blondes
3. girls who text "" &lt;3, :/, :) “
4. girls wh…",,74,244
1059119911690231809,VHuntbach,RT @jonasbrothers: felt cute might delete later 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️ https://t.co/sfkAY5C9HW,,19,395
27119832,4everconchords,@disfordisney_ @APerkDisGirl87 @dansvideomosaic @mom2pirates @reach_tube @Keanure79034491 @EddiewatchesMlb… https://t.co/UUUZS6qjuY,Chicago IL,623,2352
2225320159,MarilynMelcraw,RT @andygrammer: Man this one made me pause. I am by no means perfect and have definitely awakened a woman’s love without any intention of…,,75,515
895979744,marlynAURORA,@shelbynabors_ https://t.co/zwA8uZ3KFn,"Cleveland, TN",103,164
3291312355,SSassenachs,RT @LauraRispoliArt: Thank you @SamHeughan for inspiring me in so many ways. I’m so grateful for the friends and changes I’ve made in my li…,"Alabama, USA",4287,4970
322162916,Damians78s,@Glamrou ❤ Anemone + your outfit at @BFIFlare,"London, UK",189,1791
1295917285,DLM416,@mattricker5 She was all smiles...not appropriate.,,96,894
44062948,1purplesun,,2,15,
3195646183,orlando81163402,"Posted a new song: ""Under The Fray Of Day"" https://t.co/wicXMi6YRT #music https://t.co/Tz4InVqtvA","San Antonio, TX",26,142
245973228,nonastravel,@tartanjourney @nyctartanweek Enjoy....I’ll see you at Prickly Thistle on April 29th!,MO-USA,174,254
2687467758,jologojo1,@BarryWaldo What a HAPPY photo You both look great!,"Greater Napanee, Ontario",122,430
19083503,valeriefrances,@InterestingSci1 Seriously impressive seas,"Severn, MD",266,407
2353410289,gojimgo3,"Were you a recipient of a Tennessee Lottery-funded scholarship and/or grant such as the HOPE Scholarship? 🎓 If so,… https://t.co/Jb27BRKMrT",The Mid-South,264,223
1374656754,maeva_vb,"RT @LeBouseuxMag: Imagine, t'es blanc, hétéro et t'as pas de cancer, mais tu te sers du cancer pour te plaindre sur twitter alors que ça ro…",,559,3579
248240371,candyangel45,"Create your Avengers team with the first @ who appears 

Iron Man: @barbarafaith
Black Widow: @MissVala
Thor:… https://t.co/2jkjugwetp",,394,1090
2536081651,RikSwizz,"@nbcsnl @GameOfThrones Lmao ""Didya know they FILMED that?!""","Texas, USA",41,187
22716657,MommyCat111,RT @nowthisnews: 3 million U.S. citizens can't vote for president — but this Puerto Rico statehood bill would change that https://t.co/0UHn…,,47,411
25084150,jen61f,I love this old machine. https://t.co/15zM3IptU7,"Paris, TN",51,270
3188572408,Nicki_Benson,"RT @jp_offclastro: みみマッサージ😆
#ASTRO #おはよう https://t.co/Uk1SN8AKjK",,85,500
3712237816,Poldarklander,RT @TheRonTerryShow: .FYI: We have an amazing amount of talented folks in the Outlander fanmily. It’s not just about cast &amp; crew. We suppor…,"New York, USA",763,694
64340218,llcorrodi24,@Zak_Bagans Congrats buddy!!!,"New Orleans, LA",40,227
14326789,nolajazz,"DER👏🏼RY👏🏼GIRLS👏🏼 
I’ve finally cottoned on #DerryGirls #Netflix","Raleigh, NC",217,492
349485306,Hayley_Fields27,RT @BITTERSWEETRIAH: https://t.co/TPOyCiz5Ge,"bay area, california",178,513
1649185021,kirstyruss1,"Ancaster, Ontario",0,54,
1032583364505755648,carisaliena,"L'eliminazione di Ludovica mi ha spezzato il cuore 💔

#Amici18",Italia,410,509
3423959295,FallingTStones,@terrydresbach2 Issues and some kickass footwear!,"Virginia, USA",97,264
922874042264313856,locatada,"RT @juancampanella: Perdón, sin el ánimo de meter la más mínima púa, la frase es de Thomas Fuller, historiador de fines del siglo XVIII y e…",Argentina,43,824
898540388473905152,Dorishobson1206,,5,99,
746102534004219904,Sass3Journey,RT @SoCalEdition: St. Andrew’s Society LA celebrates Tartan Day and GoT at the Tam O’ Shanter https://t.co/QT7s5WxErz,"San Diego, CA",852,1285
707766875883577344,alishah8707,#NewProfilePic https://t.co/0UqyxrWqk1,"Minnesota, USA",8,263
4685953284,OutlanderCostum,@hal12362 @Writer_DG @SassenachSJ https://t.co/hpTVVNTv8W,,44766,90
777923922616524800,micht_79,"RT @Mayflower_High: A huge thank you to everyone who supported the cake sale on Thursday, which was to raise funds for the school productio…","Billericay, East",14,42
826974491486068737,LindseyPaigeWi1,@MrsHallScholars Wow! This is great!,"Somerville, TN",143,369
788158882333925376,luv_MMandM,@ChickAdvisor I would love to try one of these #StIvesShowerFoam scents!  Fingers crossed!,,72,396
712623946248495105,Milabean29,👓 #nerdygirls love these frames!! https://t.co/gMWkBOMmRe,,30,120
285090057,MissAmeliaCat,"RT @krassenstein: Since Lindsey Graham blocked a transparent Mueller report, saying he wants a Special Counsel on Clinton, I think we need…",Indianapolis,384,1136
2310625546,vjevans25,Finding plurals at literacy night!!!@LMESTigerNation https://t.co/CVhGrSLRmL,,75,53
1859473668,e_ma510,RT @troynguyen: Holy shit! I luv @Alyssa_Milano . This is a masterful leader in action. You can feel the inner strength &amp; power fueling her…,"Union City, CA",5,300
3357962505,JayneStevensLMT,RT @DalaiLama: We have to learn how to use our time properly. It's important to make our lives meaningful. Bullying and cheating others may…,"Bayonne, NJ",80,244
70734084,JohnBell,"RT @my_Fanbase: In our interview @JohnBell talks about portraying Young Ian on #Outlander season 3 and 4, his story and experiences:

""I lo…",GLASGOW,42001,1305
503732495,lisaluvs2laff,@Writer_DG https://t.co/QnJt9RJCwt,Clearwater FL,187,2146
29835537,dental_one,@snowdropcf They were in drama school together. 🙂,Drillin' & Fillin' ,537,1895
12710162,Lizzrd,@focusatwill It shouldn’t be so difficult to a) contact your Cust Svs or b) discontinue a sub. Please contact me to… https://t.co/dLxi1eaXIG,Virginia,358,1211
3305222424,and5799,@Devonte4Graham Can’t wait for tomorrow’s game! #LetsBeNiceToEachOther K-State no comment. 🏀Rock Chalk Jayhawk ⛹️‍♂️⛹🏾‍♂️⛹🏽‍♂️⛹🏼‍♂️⛹🏿‍♂️,"Missouri, USA",3,76
28801308,GenevieveAutumn,RT @antmiddleton: So here it is… my new book The Fear Bubble: Harness fear and live without limits! 💪👊 It’s out this September and you can…,Kent ,104,556
14203166,crzybistitchual,@blu_joon @FireGoddessB Yes. He's actually managed to bully people into listening to him. His brother just got high and was dumb.,"Ontario, Canada",405,503
20734242,memorymoron,RT @valkyriethot: in honor of paul rudd’s birthday i’m bringing back this iconic moment https://t.co/rJKl7URqca,canada,186,890
863803682,JenAdamson12,"Scotland, United Kingdom",85,346,
1520902435,Lynn_Blalock,"RT @ScottJKyle1: “I want people to shine a light for the next person that's coming in the dark, because I had nobody shining a light for me…","Florida, USA 🇺🇸",1007,1439
222865702,wares_tracey1,@genebraverock @Calgaryexpo Come on @Calgaryexpo CalgaryExpo....WHY have you never supported the local boy who is m… https://t.co/N7ZDVUeHeL,"Calgary, Alberta CANADA",407,851
2959536423,PegMacNeill,RT @natlibscot: Happy #caturday everyone 🐱 https://t.co/BUGHROJwFH,,8,21
848679210,andrea_kappes,@romannberrux Wow!! You slay young man! Momma's lock up your daughters!!,"Switzerland County Indiana, US",358,1863
2744779053,WisemanHilda,"RT @CoachPatDye_: Good luck to @AuburnMBB and my good friend, @coachbrucepearl tonight in the #FinalFour! Let’s #DoItForChuma and get that…",,100,448
902147779656593408,MaryHun80456907,@ChristianBrasso Good looking man x,,53,190
940720125732368384,j_augustensen,I’ve selected Jon Snow to sit on the Iron Throne! https://t.co/CBccCUPerA #GameofThrones,"Toms River, NJ",68,122
1070504701169414144,KaitBrannen,RT @Outlanderclctr: Tune in today at 3pm ET/12pm PT on @EW's Facebook page for a FB Live with EPs Maril Davis and Toni Graphia. To get you…,"Kansas, USA",2,78
39237941,PaulsyH,"@PColemanchester Please refer to Paul as his proper name, Nicholas Flamel.",Earth,107,230
11866422,eirelyn,@michaelrosenbum @NHL @NHLnlm @isaiahmustafa @Burnzie88 @SanJoseSharks @robholysz @insideofyoupod @brentburns Oh ye… https://t.co/ZbgTM7lLAL,"Discovery Bay , CA",99,875
413319479,bmwmycar,Medda’s ready for Act II🤗♥️ #Newsies https://t.co/Ih8lBnUivd,solon,582,654
2715984901,jensenmiller062,Hiking! https://t.co/tYMIOOxLE2,,217,322
2276507966,cassahcassou,"RT @AllAboutGosh: Ginnifer Goodwin &amp; Josh Dallas
Library Foundation of Los Angeles
MU and Skin @storyofmailife 
Styling @wendiandnicole 
#h…",France,1112,2514
33321278,AwesomeForever,Marlborough MA,915,2244,
415220030,ChelseaSpiker1,RT @FixingEducation: Students have increasingly become hesitant to think for themselves because they have been programmed to believe that t…,,173,645
259995968,barbaramills1,RT @sharon_kk: @pjl24 @Sheugs @GHJNancy @IrisD236 @sarahjaswim @ladybay8 @barbaramills1 @LaurelSchuett @Vanilla627 @GraziaMgb616 @JEACARD @…,Twitterville ,7054,2002
18977087,sc_sun,@carlosmarin_ My fave quote ever!!,Charleston SC USA,79,260
4389855561,nya_mills,RT @jk_rowling: FzmhtzmrgMgdzktezkyd,"Edmonton, Alberta",1,9
923014130059096065,floogiepooh,@BraedenClarke you lit up the screen with your beautifully expressive face.  Bravo.,,1,12
93772109,townsendt,#FHIMA2018 CEUs when will the email come to report CEUs for attendees?,Inverness FL,20,41
197060941,newsollie,Trump to Puerto Rico: Who’s Your Daddy? https://t.co/J2bYGKYWj5,"Melville, NY",643,646
2453832020,EdwardsKelliek,@PrimeVideo Finished Hanna season 1 yesterday sooooo good!,"Muskogee, OK",39,324
228503892,Liudmilayaya,@callmeshifty @Dorkout @RRankinFans @RikRankin 😂😂😂😂 https://t.co/aouqx2ZiX3,Minsk,49,311
27003222,Michelleprojas,@romasars @Writer_DG @OutlanderHQ @VeraAdxer_Art @CatsandKilts @OutlanderHome @mymtbrain @olprintshop @OLTexansTnT… https://t.co/bkvu4KOxCt,santo domingo,92,260
32299350,Flingagirl,@Outlander_STARZ @caitrionambalfe I am so excited!!!! Do we get more hints of what's coming https://t.co/u3jJjiD7s5,"ÜT: 42.29455,-85.650522",241,831
1045510488,fdattilo54,"RT @CANUCKRESISTER: I always follow back! #FBRparty 🌊

Please do one of the following:
1. Follow
2. Comment
3. Like
4. Retweet

#RESISTANCE…",United States,1052,1494
2311119193,dchervey,"@theshadowsfx Best new show ever, if you like vampires, dark humor, sarcasm and laughing your arse off! Not for chi… https://t.co/aypVHSvJp6","Macon, GA",189,423
256201048,imarec89,@Trevorlawrencee @marissa_mowry A mother posted this today! It’s too cute not to share! #sweetdreams… https://t.co/NosyNk1NTS,"Walhalla, SC",248,458
30099812,Shablingo,@common Kindness,"Vancouver, Washington",136,826
270559589,kyylore,@WesBreault I’m only such a romantic b cuz of u dork,"Calgary, Alberta",167,254
985506150,amyyyy126,"RT @karllscott: *gets comfortable*

my mom: https://t.co/GfIIOAlRV3","Wisconsin, USA",175,356
343105895,JCM55,@reshie2019 @AmyBumgarner69 Us #Cinners had a period where we went weeks without any Cin scenes and it happened mor… https://t.co/PcEciuwQYv,"Tennessee, USA",17,26
1571729766,oldtiredwoman,"Portland, Oregon",13,327,
72628583,Mel7Labrador,"As much as I was wanting, the fish were not givin' ..... No fish on the BBQ tonight. #NovaScotia","Nova Scotia, CANADA",1219,1690
333093231,2silvercats,@NordyJenn 😂😂😂 ha ha. Got it 😉😉,,207,310
1045775715529109504,PasqualiCatia,"@SamHeughan Sam, I'm a very fond of you and the TV series. I would love that for the fifth season you adopted this… https://t.co/rZdIqtwGV8",,21,44
2284122486,AndieLiauw,@WSUConfessions4 @SerafiniTt,,102,86
4836800886,corygeard,"Airdrie, Alberta",2352,4834,
495999352,ClarkTommyc,@GaryTuckerGB @biteback7 What an absolute knob! Wee fanny,Fife,359,1235
895299299054989312,Missy3lyon86,@pchdotcom My mama is my best friend. https://t.co/kWDmu91W5I,"Tennessee, USA",103,113
760469444866945024,reynoldsteachG4,The many ways to sit as a focused kid!! Working hard!! #testprep #ELA @LMESTigerNation @suptking https://t.co/9pqUGue2aR,"Tennessee, USA",248,382
980987098923610112,TerryAnneLucas1,@YogaGer In a New York minute!,,7,94
60649860,luciebd,RT @HackedOffHugh: Like her boss Andrea Leadsom is a lethal combination of dim and entitled.  A really terrifying little stormtrooper. http…,"Wirral, UK",1898,1913
168417668,AndyPrings,I added a video to a @YouTube playlist https://t.co/aihpdgx9zh International Tabletop Day 2017 – Betrayal at the House on the Hill,"Calgary, Alberta",517,71
975178030854189057,megumi_rakuda,ノキアの携帯端末から個人情報が中国へ？疑惑を調査へ #ldnews https://t.co/PImrceEuB9,,4,47
769320303709138945,houstonfcollins,@MrsClybrn Woodrow Wilson,"Tennessee, USA",20,93
838827131832512513,mrsb4441,"Jackson, TN",7,48,
832251338629132288,Hclark9908Clark,@cw_spn @JensenAckles Happy birthday,"Canadian, TX",68,1960
826918165590388736,IzzyBethD,@LouiseBagshawe @CaitlinPacific This is amazing. Wonderfully written.,,272,848
2837594507,CatsandKilts,@OutlandishVanBC Hehehe...there MAY be a costume too...,"Fan and Let Fan, Outlander World",5283,3983
